Alumni,199.0 ,32.0 ,6.123076923076923 ,3.0 ,4.0 ,0.38461538461538464 ,0.02500000000000001 ,0.4392857142857143 ,1.5
Career  Services,196.94444444444446 ,33.611111111111114 ,5.84983498349835 ,2.111111111111111 ,36.0 ,0.36468646864686466 ,0.2652777777777777 ,0.5458333333333334 ,0.0
Carlien  Nell,195.5 ,28.5 ,6.741379310344827 ,1.0 ,4.0 ,0.3620689655172414 ,0.2 ,0.55 ,4.0
clickup@tuks.co.za,144.0 ,18.0 ,7.578947368421052 ,1.0 ,2.0 ,0.21052631578947367 ,0.0 ,0.0 ,12.0
donotreply@cs.up.ac.za,190.30769230769232 ,30.73076923076923 ,6.185 ,2.230769230769231 ,52.0 ,0.4 ,0.09204365079365079 ,0.32754324379324384 ,0.38461538461538464
Dr  L  (Lynette)  L  Nagel,197.0 ,28.0 ,6.793103448275862 ,2.0 ,2.0 ,0.3448275862068966 ,-0.5 ,0.5 ,0.0
Gabriel  from  DataCamp,200.0 ,30.3 ,6.578947368421052 ,5.1 ,20.0 ,0.3026315789473684 ,0.3502435064935065 ,0.5122402597402598 ,0.3
Gladys  Sithole,194.0 ,30.0 ,6.258064516129032 ,2.0 ,2.0 ,0.2903225806451613 ,0.6 ,0.9 ,0.0
Google,201.0 ,26.0 ,7.584905660377358 ,4.0 ,4.0 ,0.2641509433962264 ,0.13636363636363635 ,0.45454545454545453 ,7.0
Marketing,201.0 ,27.0 ,7.178571428571429 ,1.0 ,2.0 ,0.2857142857142857 ,0.0 ,0.0 ,0.0
Martijn  from  DataCamp,198.2 ,34.2 ,5.761627906976744 ,3.4 ,10.0 ,0.4127906976744186 ,0.1788798701298701 ,0.4333585858585859 ,1.2
Ncuthukazi  Lubala,196.5 ,24.5 ,7.86 ,3.0 ,4.0 ,0.2 ,0.6499999999999999 ,0.75 ,6.0
Neo  Thokoa,140.4 ,24.4 ,5.73841961852861 ,1.8666666666666667 ,30.0 ,0.3814713896457766 ,0.10327594123048668 ,0.49419913419913425 ,0.4
Noreply@eballot.com,197.33333333333334 ,35.666666666666664 ,5.481481481481482 ,2.3333333333333335 ,6.0 ,0.4537037037037037 ,0.2923809523809524 ,0.6190476190476191 ,0.0
The  DataCamp  Team,197.5 ,33.5 ,5.8088235294117645 ,4.0 ,4.0 ,0.22058823529411764 ,0.3055555555555556 ,0.34444444444444444 ,1.0
Twitter,198.0 ,31.0 ,6.285714285714286 ,3.5 ,4.0 ,0.30158730158730157 ,-0.011111111111111113 ,0.5847222222222223 ,1.0
UP  COS700RM  2018,200.0 ,27.0 ,7.142857142857143 ,2.0 ,2.0 ,0.25 ,-0.13333333333333333 ,0.6 ,5.0
